 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor xBest yBest
gBest1 -735,127776 -885,990221 -578,492666 -569,469314 -828,479349 -627,60749 -598,173022 -803,25989 -716,54293 -858,423485 -720,1566143 -885,9902212718976 424,5103086928498 444,41174170842123
gBest2 -735,127776 -885,990221 -708,546525 -705,431605 -828,479349 -627,60749 -746,896554 -882,686875 -716,54293 -858,423485 -769,573281 -885,9902212718976 424,5103086928498 444,41174170842123
gBest3 -771,57095 -958,81495 -846,337993 -859,878392 -828,479349 -765,705714 -746,896554 -952,120207 -764,031984 -931,971231 -842,5807324 -958,8149499215463 512 405,081731326497
gBest4 -791,603025 -958,81495 -957,101986 -923,437996 -868,733546 -850,507119 -747,827579 -959,493726 -820,97902 -941,56395 -882,0062897 -959,4937257503638 512,0 404,59089751571634
gBest5 -796,342252 -958,81495 -957,101986 -923,437996 -868,733546 -852,594974 -754,888392 -959,493726 -906,239386 -952,510095 -893,0157303 -959,4937257503638 512,0 404,59089751571634
gBest6 -820,868616 -959,639995 -957,101986 -947,996471 -868,733546 -852,594974 -783,214223 -959,493726 -927,719502 -952,510095 -902,9873134 -959,6399949102539 512,0 404,20756615100333
gBest7 -820,868616 -959,639995 -957,101986 -955,214855 -868,733546 -858,595737 -783,214223 -959,628619 -947,933976 -958,895604 -906,9827157 -959,6399949102539 512,0 404,20756615100333
gBest8 -820,868616 -959,639995 -957,101986 -959,013224 -868,733546 -863,981575 -783,214223 -959,628619 -947,933976 -958,895604 -907,9011364 -959,6399949102539 512,0 404,20756615100333
gBest9 -820,868616 -959,639995 -958,920273 -959,597529 -890,828726 -902,019486 -818,677242 -959,635519 -958,760329 -959,628407 -918,8576122 -959,6399949102539 512,0 404,20756615100333
gBest10 -820,868616 -959,639995 -959,626695 -959,597529 -890,828726 -959,636147 -821,173886 -959,635519 -959,599714 -959,628407 -925,0235234 -959,6399949102539 512,0 404,20756615100333
