(-233, 11);(-35, 142);(165, -398);(-51, -346);(280, 179);(-508, 47);(-367, 207);(-346, -133);(-146, 56);(170, 336);
(-263.0, -245.6);(-35, 142);(215.0, 219.9);(-51, -346);(280, 179);(-508, 47);(-367, 207);(-346, -133);(-138.0, -212.60000000000002);(300.0, 136.7);
(-263.0, -245.6);(-35, 142);(215.0, 219.9);(-51, -346);(488.07639076198404, 363.17304481333116);(-508, 47);(-367, 207);(-364.207927573175, -177.692819174298);(-138.0, -212.60000000000002);(300.0, 136.7);
(-263.0, -245.6);(-35, 142);(474.3015736226993, 342.5278095452788);(-51, -346);(512, 495.87347885331553);(-508, 47);(-367, 207);(-364.207927573175, -177.692819174298);(-138.0, -212.60000000000002);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(-35, 142);(512, 497.0120164975543);(-51, -346);(512, 495.87347885331553);(-508, 47);(-367, 207);(-364.207927573175, -177.692819174298);(-138.0, -212.60000000000002);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(-35, 142);(512, 497.0120164975543);(-51, -346);(512, 495.87347885331553);(-508, 47);(-367, 207);(-364.207927573175, -177.692819174298);(-138.0, -212.60000000000002);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(506.0447210926195, 326.1793534440159);(512, 497.0120164975543);(-51, -346);(512, 495.87347885331553);(-508, 47);(-367, 207);(-364.207927573175, -177.692819174298);(-138.0, -212.60000000000002);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(506.0447210926195, 326.1793534440159);(512, 497.0120164975543);(-51, -346);(512, 495.87347885331553);(-508, 47);(-367, 207);(-364.207927573175, -177.692819174298);(-138.0, -212.60000000000002);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-51, -346);(512, 495.87347885331553);(-508, 47);(-367, 207);(-364.207927573175, -177.692819174298);(-138.0, -212.60000000000002);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-51, -346);(512, 495.87347885331553);(-508, 47);(-367, 207);(-364.207927573175, -177.692819174298);(-138.0, -212.60000000000002);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-90.19299692617835, -324.29846335950447);(512, 495.87347885331553);(-508, 47);(-367, 207);(-364.207927573175, -177.692819174298);(-492.41222418911025, -331.2446359318856);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-90.19299692617835, -324.29846335950447);(512, 495.87347885331553);(-508, 47);(-367, 207);(500.7989546566404, 146.6809137041251);(-492.41222418911025, -331.2446359318856);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-90.19299692617835, -324.29846335950447);(512, 495.87347885331553);(-508, 47);(-367, 207);(500.7989546566404, 146.6809137041251);(-492.41222418911025, -331.2446359318856);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-90.19299692617835, -324.29846335950447);(512, 495.87347885331553);(-508, 47);(-367, 207);(500.7989546566404, 146.6809137041251);(-492.41222418911025, -331.2446359318856);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-512, 92.77702068196228);(512, 495.87347885331553);(-508, 47);(-367, 207);(500.7989546566404, 146.6809137041251);(-492.41222418911025, -331.2446359318856);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-512, 92.77702068196228);(512, 495.87347885331553);(-508, 47);(512, 352.5502705527029);(500.7989546566404, 146.6809137041251);(-492.41222418911025, -331.2446359318856);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-512, 92.77702068196228);(512, 495.87347885331553);(-508, 47);(512, 352.5502705527029);(500.7989546566404, 146.6809137041251);(-492.41222418911025, -331.2446359318856);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-512, 92.77702068196228);(512, 495.87347885331553);(-487.68121374904086, -312.772497112771);(512, 352.5502705527029);(500.7989546566404, 146.6809137041251);(-492.41222418911025, -331.2446359318856);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-512, 92.77702068196228);(512, 495.87347885331553);(-472.87940763721787, -401.0841443952547);(512, 352.5502705527029);(500.7989546566404, 146.6809137041251);(-512, -356.39347655625414);(474.31438263122385, 456.93856529260347);
(-512, -344.8932935770531);(510.3284548274846, 367.97893028138407);(512, 497.0120164975543);(-512, 92.77702068196228);(512, 495.87347885331553);(-472.87940763721787, -401.0841443952547);(512, 352.5502705527029);(500.7989546566404, 146.6809137041251);(-512, -356.39347655625414);(474.31438263122385, 456.93856529260347);
