x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;;média x;média y;;melhor x;melhor y
-215;-451;34;-97;477;-156;-494;97;483;115;-104;433;296;269;336;456;222;72;-494;121;;54,1;85,9;;;
-215;-451;65,84077444;114,8565982;-242,6127856;-512;-494;97;483;115;-104;433;256,1193034;512;281,8816839;512;-462,6445634;-306,32217;-380,5145838;-445,3803413;;-81,1930171;6,915408692;;;
-268,368287;-507,0893191;65,84077444;114,8565982;-242,6127856;-512;-512;-149,564805;483;115;-104;433;256,1193034;512;467,840573;462,7689562;-462,6445634;-306,32217;-380,5145838;-445,3803413;;-69,73395689;-28,2731081;;;
-268,368287;-507,0893191;65,84077444;114,8565982;-242,6127856;-512;-512;-149,564805;483;115;-104;433;256,1193034;512;467,840573;462,7689562;-462,6445634;-306,32217;-380,5145838;-445,3803413;;-69,73395689;-28,2731081;;;
-268,368287;-507,0893191;65,84077444;114,8565982;-242,6127856;-512;-494,8894504;-149,3149659;483;115;-490,9326374;-144,3924622;256,1193034;512;479,5043148;458,7871361;-462,6445634;-306,32217;-380,5145838;-445,3803413;;-105,5497915;-86,38555242;;;
-268,368287;-507,0893191;65,84077444;114,8565982;-230,2348557;-481,8635389;-494,8894504;-149,3149659;483;115;-490,9326374;-144,3924622;256,1193034;512;479,5043148;458,7871361;-505,3297112;-336,28657;-380,5145838;-445,3803413;;-108,5805133;-86,36834631;;;
-268,368287;-507,0893191;237,736153;217,5555909;-230,2348557;-481,8635389;-494,8894504;-149,3149659;483;115;-497,4676294;-328,0151429;267,1050755;508,0359931;475,3657107;463,9240251;-505,3297112;-336,28657;-421,7833647;-398,5943666;;-95,48663592;-89,66482943;;;
-244,3495441;-486,3391073;265,881254;250,7458324;-230,2348557;-481,8635389;-480,8375707;-306,5774734;483;115;-497,4676294;-328,0151429;267,1050755;508,0359931;462,1305444;453,5492802;-505,3297112;-336,28657;-421,7833647;-398,5943666;;-90,1885802;-101,0345093;;;
-244,3495441;-486,3391073;265,881254;250,7458324;-230,2348557;-481,8635389;-478,9953565;-325,5167722;483;115;-497,4676294;-328,0151429;267,1050755;508,0359931;467,82753;451,1369469;-505,3297112;-336,28657;-421,7833647;-398,5943666;;-89,43466022;-103,1696725;;;
-244,3495441;-486,3391073;340,8245178;446,7799163;-230,2348557;-481,8635389;-478,9953565;-325,5167722;512;364,7664556;-497,4676294;-328,0151429;267,1050755;508,0359931;454,7779831;442,2197035;-505,3297112;-336,28657;-421,7833647;-398,5943666;;-80,34528852;-59,48134293;;;
-244,3495441;-486,3391073;340,8245178;446,7799163;-230,2348557;-481,8635389;-456,1486857;-384,2826808;512;364,7664556;-497,4676294;-328,0151429;267,1050755;508,0359931;454,7779831;442,2197035;-505,3297112;-336,28657;-421,7833647;-398,5943666;;-78,06062144;-65,3579338;;;
-244,3495441;-486,3391073;421,2882985;473,5024051;-230,2348557;-481,8635389;-456,1486857;-384,2826808;512;364,7664556;-497,4676294;-328,0151429;267,1050755;508,0359931;454,7779831;442,2197035;-505,3297112;-336,28657;-421,7833647;-398,5943666;;-70,01424337;-62,68568492;;;
-244,3495441;-486,3391073;421,2882985;473,5024051;-230,2348557;-481,8635389;-456,1486857;-384,2826808;512;364,7664556;-497,4676294;-328,0151429;267,1050755;508,0359931;454,7779831;442,2197035;-505,3297112;-336,28657;-421,6292682;-395,434615;;-69,99883371;-62,36970976;;;
-244,3495441;-486,3391073;421,2882985;473,5024051;-230,2348557;-481,8635389;-456,1486857;-384,2826808;512;364,7664556;-497,4676294;-328,0151429;267,1050755;508,0359931;454,7779831;442,2197035;-505,3297112;-336,28657;-421,6292682;-395,434615;;-69,99883371;-62,36970976;;;
-244,3495441;-486,3391073;421,2882985;473,5024051;-230,2348557;-481,8635389;-456,1486857;-384,2826808;512;364,7664556;-508,7223802;-350,6769;267,1050755;508,0359931;454,7779831;442,2197035;-505,3297112;-336,28657;-421,6292682;-395,434615;;-71,12430879;-64,63588547;;;
-244,3495441;-486,3391073;421,2882985;473,5024051;-230,2348557;-481,8635389;-456,1486857;-384,2826808;512;364,7664556;-512;-342,2761668;267,1050755;508,0359931;454,7779831;442,2197035;-505,3297112;-336,28657;-421,6292682;-395,434615;;-71,45207077;-63,79581215;;;
-244,3495441;-486,3391073;421,2882985;473,5024051;-411,3436055;-383,3180085;-456,1486857;-384,2826808;512;364,7664556;-512;-342,2761668;376,1372396;489,6131897;454,7779831;442,2197035;-505,3297112;-336,28657;-421,6292682;-395,434615;;-78,65972935;-55,78353946;;;
-244,3495441;-486,3391073;421,2882985;473,5024051;-411,3436055;-383,3180085;-456,1486857;-384,2826808;512;364,7664556;-512;-342,2761668;376,1372396;489,6131897;454,7779831;442,2197035;-505,3297112;-336,28657;-421,6292682;-395,434615;;-78,65972935;-55,78353946;;;
-244,3495441;-486,3391073;450,101782;432,0194396;-411,3436055;-383,3180085;-456,1486857;-384,2826808;512;364,7664556;-512;-342,2761668;376,1372396;489,6131897;454,7779831;442,2197035;-505,3297112;-336,28657;-421,6292682;-395,434615;;-75,778381;-59,93183601;;;
-244,3495441;-486,3391073;450,101782;432,0194396;-411,3436055;-383,3180085;-456,1486857;-384,2826808;512;364,7664556;-512;-342,2761668;376,1372396;489,6131897;454,7779831;442,2197035;-505,3297112;-336,28657;-421,6292682;-395,434615;;-75,778381;-59,93183601;;;
